file,requested_action,current_repo_status,archive_status,current_decision,notes
BUILDER-POD-UPDATES.md,archive,not_found,not_archived,do_not_implement,"Exact filename not found locally or in exact Drive search; do not restore public POD UI from adjacent notes."
BUILDER-PRINTFUL-INTEGRATION-CODE.html,archive,not_found,not_archived,do_not_implement,"Exact filename not found locally or in exact Drive search; supplier API/integration code remains out of scope."
BOM-DISPLAY-HYBRID-UI.html,archive,recovered_from_drive,archived_copy,do_not_implement,"Legacy UI/configurator concept archived under legacy-supplier-research; normal public builder must stay proof-first."
supplier-dashboard-v1.html,archive,recovered_from_drive,archived_copy,do_not_implement,"Archived as inert reference only; no public/internal supplier dashboard in current launch scope."
sticker-supplier-intelligence.html,archive,recovered_from_drive,archived_copy,future_research,"Archived supplier research only; not product UI."
PRINTFUL-PRODUCT-TEMPLATE-SPECS.md,archive,recovered_from_drive,archived_copy,do_not_implement,"Supplier template specifics are not current unless validated through RFQ."
MAGNET-DROPSHIP-STRATEGY.md,archive,recovered_from_drive,archived_copy,future_research,"Magnet path remains interest metadata and supplier validation only."
COLOR-BY-NUMBER-EXPANSION-ANALYSIS.md,archive,recovered_from_drive,archived_copy,future_research,"Possible future product research; not current public builder work."
WOBRICK-JIT-ORDERING-WORKFLOW.md,archive,recovered_from_drive,archived_copy,do_not_implement,"Brick/JIT sourcing is outside doctrine and must not shape public copy."
US-MEXICO-BRICK-SUPPLIER-RESEARCH.md,archive,recovered_from_drive,archived_copy,do_not_implement,"Brick sourcing is archived/do-not-implement."
DOMESTIC-SOURCING-STRATEGY.md,archive,recovered_from_drive,archived_copy,future_research,"May be useful for non-public supplier strategy only."
TARIFF-IMPACT-ANALYSIS-2025.md,archive,recovered_from_drive,archived_copy,future_research,"May be useful for internal sourcing context only."
TRANSPARENT-BRICK-SUPPLIER-STRATEGY.md,archive,recovered_from_drive,archived_copy,do_not_implement,"Brick strategy is out of public product doctrine."
PALETTE-SPEC-FOR-CODEX.md,archive,recovered_from_drive,archived_copy,future_research,"Palette constraints should flow through current production constants only."
FOAM-BOARD-CORK-ASSEMBLY-GUIDE.md,archive,recovered_from_drive,archived_copy,future_research,"Placement/backing board research may inform supplier questions after validation."
CUSTOMER-ASSEMBLY-INSTRUCTIONS.md,archive,not_found,not_archived,future_research,"Exact filename not found locally or in exact Drive search; customer instructions should wait until physical sample validation."
MosaPack_Supplier_Fulfillment_Canonical_v1.md,input,not_found,replaced_by_canonical,current_source_created,"New canonical source created at docs/mosapack/supplier-fulfillment-source-of-truth-v1.md."
MosaPack_File_Audit_Matrix.csv,input,not_found,replaced_by_audit,current_audit_created,"New audit matrix created at docs/mosapack/archive/file-audit-matrix-2026-07-09.csv."
mosapack-PRD-v2.md,input,not_found,not_archived,current_reference_missing,"Exact filename not present in this checkout or exact Drive search results."
mosapack-fulfillment-bom-plan.md,input,not_found,not_archived,current_reference_missing,"Exact filename not present in this checkout or exact Drive search results."
step3-compaction-spec.md,input,not_found,not_archived,current_reference_missing,"Exact filename not present in this checkout or exact Drive search results."
